#chr	start	end	name	othernames	status
15	331493	332707			Likely
15	337279	337528	ARS1513	proARS1513	Confirmed
15	347633	348862			Likely
15	353743	354887			Likely
15	371693	372627			Likely
15	397773	399037			Likely
15	436732	436966	ARS1513.5	ARS1501	Confirmed
15	444823	446117			Dubious
15	458023	459327			Likely
15	463698	464877			Likely
15	489645	490129	ARS1514		Confirmed
15	493968	495625		proARS1515	Dubious
15	497144	497603	ARS1515.5		Confirmed
15	514258	515458			Likely
15	520541	521040	ARS1515.7		Confirmed
15	566409	566643	ARS1516	ADE2, proARS1516	Confirmed
15	575463	578947			Likely
15	600885	600960	ARS1517	ARS1502, proARS1517	Confirmed
15	601221	608221			Likely
15	616913	618427		proARS1518	Likely
15	631059	632259			Dubious
15	645796	646996			Likely
15	656632	656876	ARS1519	proARS1519	Confirmed
15	662888	663957			Likely
15	669805	670515			Likely
15	681112	681611	ARS1520	proARS1520	Confirmed
15	699500	709500			Likely
15	729739	729969	ARS1521	proARS1521	Confirmed
15	733221	740221			Likely
15	759221	766221			Likely
15	766617	766862	ARS1523	proARS1522, proARS1523	Confirmed
15	783344	783563	ARS1524	proARS1524	Confirmed
15	847666	848866			Likely
15	854735	855228	ARS1525	proARS1525	Confirmed
15	874190	874434	ARS1526	proARS1526	Confirmed
15	882650	885350			Dubious
15	898603	900567			Likely
15	901383	903147		proARS1527	Dubious
15	908288	908537	ARS1528	proARS1528	Confirmed
15	945350	946550			Likely
15	981454	981690	ARS1529	proARS1529	Confirmed
15	997703	999357			Likely
15	1011435	1012635			Likely
15	1019398	1019852			Dubious
15	1022548	1023652			Likely
15	1053490	1053901	ARS1529.5		Confirmed
15	1056048	1059952			Likely
15	1071098	1072802			Dubious
15	1077498	1085252		proARS1530	Likely
15	1089998	1091252			Likely
16	23	2150			Dubious
16	6778	8439	ARS1601	proARS1601	Confirmed
16	12290	13227	ARS1602	proARS1602	Confirmed
16	18202	19681		proARS1603	Likely
16	42976	43212	ARS1604	proARS1604	Confirmed
16	49278	64278			Dubious
16	73038	73283	ARS1605	proARS1605	Confirmed
16	89758	92975		proARS1606	Likely
16	116505	116765	ARS1607	proARS1607	Confirmed
16	141595	142305			Dubious
16	161693	163447		proARS1608	Likely
16	178643	179827			Likely
16	189963	191457			Likely
16	194903	196097			Likely
16	210467	211723	ARS1609	proARS1609	Confirmed
16	214486	216511		proARS1610	Likely
16	219587	220666		proARS1611	Dubious
16	241223	242267			Likely
16	250245	250955			Likely
16	261168	262687		proARS1612	Likely
16	265603	266679		proARS1613	Dubious
16	273918	274962			Likely
16	289483	289704	ARS1614	proARS1614	Confirmed
16	297813	299287			Likely
16	303433	305027		proARS1615	Likely
16	316743	318397		proARS1616	Likely
16	319000	329000			Likely
16	331678	332074	ARS1617	proARS1617	Confirmed
16	355133	362133			Dubious
16	369003	369737			Likely
16	376723	377937			Likely
16	384536	384784	ARS1618	proARS1618	Confirmed
16	414032	416072	ARS1618.5		Confirmed
16	418132	418359	ARS1619	proARS1619	Confirmed
16	422281	423380		proARS1620	Dubious
16	427273	428757			Likely
16	439113	441372			Likely
16	453658	454627			Likely
16	456557	456805	ARS1620.5	ARS1633	Confirmed
16	473000	481000			Dubious
16	481995	496995			Dubious
16	498853	500557			Likely
16	511619	511940	ARS1621	proARS1621	Confirmed
16	552403	554287			Likely
16	556133	563133			Likely
16	563822	564061	ARS1622	proARS1622	Confirmed
16	565046	565289	ARS1622.5	ARS1634	Confirmed
16	568373	569527			Dubious
16	584037	584486	ARS1622.7		Confirmed
16	588613	589437			Dubious
16	599813	601013			Dubious
16	608474	609674			Dubious
16	619892	621092			Dubious
16	633868	634117	ARS1623	proARS1623	Confirmed
16	649000	657000			Dubious
16	684383	684632	ARS1624	proARS1624	Confirmed
16	687133	694133			Likely
16	695432	695681	ARS1625	proARS1625	Confirmed
16	700763	701932			Dubious
16	728393	729207			Likely
16	749094	749341	ARS1626	proARS1626	Confirmed
16	776921	777152	ARS1626.5	ARS1635	Confirmed
16	819153	819393	ARS1627	proARS1627	Confirmed
16	822993	825387			Likely
16	842646	842894	ARS1628	proARS1628	Confirmed
16	850007	851124		proARS1629	Likely
16	863303	864667			Likely
16	865187	880187			Dubious
16	880854	881102	ARS1630	proARS1630	Confirmed
16	902206	917206			Dubious
16	929725	930435			Likely
16	932976	933223	ARS1631	proARS1631	Confirmed
16	940923	943157		proARS1632	Likely
16	946803	947997			Likely
