Gene > Primary SGDID	Gene > Systematic Name	Gene > Standard Name	Gene > Name	Gene > Alias	Gene > Length
S000000859	YER057C	HMF1	Homologous Mmf1p Factor	HIG1	390
S000000860	YER058W	PET117	PETite colonies	""	324
S000000861	YER059W	PCL6	Pho85 CycLin	""	1263
S000000862	YER060W	FCY21	FluoroCYtosine resistance	""	1587
S000000863	YER061C	CEM1	Condensing Enzyme with Mitochondrial function	fatty acid synthase CEM1	1329
S000000864	YER062C	HOR2	HyperOsmolarity-Responsive	glycerol-1-phosphatase HOR2 GPP2	753
S000000865	YER063W	THO1	suppressor of the Transcriptional defect of Hpr1 by Overexpression	""	657
S000000866	YER064C	VHR2	VHt1 Regulator	""	1518
S000000867	YER065C	ICL1	IsoCitrate Lyase	isocitrate lyase 1	1674
S000000868	YER066W	RRT13	Regulator of rDNA Transcription	""	558
S000000869	YER067W	RGI1	Respiratory Growth Induced	""	486
S000000870	YER068W	MOT2	Modulator Of Transcription	NOT4 SIG1 CCR4-NOT core ubiquitin-protein ligase subunit MOT2	1764
S000000871	YER069W	ARG5,6	ARGinine requiring	bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase	2592
S000000872	YER070W	RNR1	RiboNucleotide Reductase	RIR1 ribonucleotide-diphosphate reductase subunit RNR1 SDS12 CRT7	2667
S000000873	YER071C	TDA2	Topoisomerase I Damage Affected	""	381
S000000874	YER072W	VTC1	Vacuolar Transporter Chaperone	NRF1 PHM4	390
S000000875	YER073W	ALD5	ALdehyde Dehydrogenase	aldehyde dehydrogenase (NAD(P)(+)) ALD5	1563
S000000876	YER074W	RPS24A	Ribosomal Protein of the Small subunit	RPS24EA S24e ribosomal 40S subunit protein S24A S24A	874
S000000877	YER075C	PTP3	Protein Tyrosine Phosphatase	""	2787
S000000878	YER076C	""	""	""	909
S000000879	YER077C	""	""	""	2067
S000000880	YER078C	ICP55	Intermediate Cleaving Peptidase	""	1536
S000000881	YER079W	""	""	""	633
S000000882	YER080W	AIM9	Altered Inheritance rate of Mitochondria	FMP29	1884
S000000883	YER081W	SER3	SERine requiring	phosphoglycerate dehydrogenase SER3	1410
S000000884	YER082C	UTP7	U Three Protein	KRE31	1665
S000000885	YER083C	GET2	Guided Entry of Tailanchored proteins	HUR2 RMD7	858
S000000886	YER084W	""	""	""	387
S000000887	YER085C	""	""	""	522
S000000888	YER086W	ILV1	IsoLeucine-plus-Valine requiring	threonine ammonia-lyase ILV1 ISO1	1731
S000000889	YER087W	AIM10	Altered Inheritance rate of Mitochondria	putative proline--tRNA ligase AIM10	1731
S000000890	YER088C	DOT6	Disruptor Of Telomeric silencing	PBF2	2013
S000000891	YER089C	PTC2	Phosphatase Two C	""	1395
S000000892	YER090W	TRP2	TRyPtophan requiring	anthranilate synthase TRP2	1524
S000000893	YER091C	MET6	METhionine requiring	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	2304
S000000894	YER092W	IES5	Ino Eighty Subunit	""	378
S000000895	YER093C	TSC11	Temperature-sensitive Suppressors of Csg2 mutants	AVO3	4293
S000000896	YER094C	PUP3	PUtative Proteasome subunit	SCS32 proteasome core particle subunit beta 3	618
S000000897	YER095W	RAD51	RADiation sensitive	recombinase RAD51 MUT5	1203
S000000898	YER096W	SHC1	Sporulation-specific Homolog of CSD4	""	1539
S000000899	YER097W	""	""	""	330
S000000900	YER098W	UBP9	UBiquitin-specific Protease	""	2265
S000000901	YER099C	PRS2	PhosphoRibosylpyrophosphate Synthetase	ribose phosphate diphosphokinase subunit PRS2	957
S000000902	YER100W	UBC6	UBiquitin-Conjugating	DOA2 E2 ubiquitin-conjugating protein UBC6	753
S000000903	YER101C	AST2	ATPase STabilizing	""	1293
S000000904	YER102W	RPS8B	Ribosomal Protein of the Small subunit	S8e S14B S8B ribosomal 40S subunit protein S8B rp19 YS9	603
S000000905	YER103W	SSA4	Stress-Seventy subfamily A	YG107 Hsp70 family chaperone SSA4	1929
S000000906	YER104W	RTT105	Regulator of Ty1 Transposition	""	627
S000000907	YER105C	NUP157	NUclear Pore	""	4176
S000000908	YER106W	MAM1	Monopolar microtubule Attachment during Meiosis I	""	909
S000000909	YER107C	GLE2	GLFG LEthal	RAE1	1098
S000000911	YER109C	FLO8	FLOcculation	PHD5 STA10 YER108C	2400
S000000912	YER110C	KAP123	KAryoPherin	YRB4	3342
S000000913	YER111C	SWI4	SWItching deficient	ART1	3282
S000000914	YER112W	LSM4	Like SM	SDB23 USS1	564
S000000915	YER113C	TMN3	TransMembrane Nine	""	2121
S000000916	YER114C	BOI2	Bem1 (One) Interacting protein	BEB1	3123
S000000917	YER115C	SPR6	SPorulation Regulated	""	576
S000000918	YER116C	SLX8	Synthetic Lethal of unknown (X) function	SUMO-targeted ubiquitin ligase complex subunit SLX8	825
S000000919	YER117W	RPL23B	Ribosomal Protein of the Large subunit	YL32 L14 ribosomal 60S subunit protein L23B L23B L17aB	885
S000000920	YER118C	SHO1	""	SSU81	1104
S000000921	YER119C	AVT6	Amino acid Vacuolar Transport	""	1347
S000000922	YER120W	SCS2	Suppressor of Choline Sensitivity	""	735
S000000923	YER121W	""	""	""	345
S000000924	YER122C	GLO3	GLyOxalase	""	1482
S000000925	YER123W	YCK3	Yeast Casein Kinase	CKI3	1575
S000000926	YER124C	DSE1	Daughter Specific Expression	""	1722
S000000927	YER125W	RSP5	Reverses Spt- Phenotype	SMM1 MDP1 MUT2 NPI1 UBY1 NEDD4 family E3 ubiquitin-protein ligase	2430
S000000928	YER126C	NSA2	Nop Seven Associated	""	786
S000000929	YER127W	LCP5	Lethal with Conditional Pap1	""	1074
S000000930	YER128W	VFA1	Vps Four-Associated	""	612
S000000931	YER129W	SAK1	Snf1 Activating Kinase	PAK1	3429
S000000932	YER130C	""	Cousin of Msn2	""	1332
S000000933	YER131W	RPS26B	Ribosomal Protein of the Small subunit	S26e S26B ribosomal 40S subunit protein S26B	360
S000000934	YER132C	PMD1	Paralog of MDS3	""	5262
S000000935	YER133W	GLC7	GLyCogen	DIS2S1 PP1 CID1 DIS2	1464
S000000936	YER134C	""	""	MDP-1	537
S000000937	YER135C	""	""	""	393
S000000938	YER136W	GDI1	GDP Dissociation Inhibitor	SEC19	1356
S000000939	YER137C	""	""	""	447
S000000941	YER139C	RTR1	Regulator of TRanscription	""	681
S000000942	YER140W	EMP65	ER Membrane Protein of 65 kDa	""	1671
S000000943	YER141W	COX15	Cytochrome c OXidase	""	1461
S000000944	YER142C	MAG1	3-MethylAdenine DNA Glycosylase	MMS5	891
S000000945	YER143W	DDI1	DNA Damage Inducible	VSM1	1287
S000000946	YER144C	UBP5	UBiquitin-specific Protease	""	2418
S000000947	YER145C	FTR1	Fe TRansporter	""	1215
S000000948	YER146W	LSM5	Like SM	""	282
S000000949	YER147C	SCC4	Sister Chromatid Cohesion	""	1875
S000000950	YER148W	SPT15	SuPpressor of Ty	TBP TBP1 BTF1	723
S000000951	YER149C	PEA2	PEAnut shmoo mutant	DFG9 PPF2	1263
S000000952	YER150W	SPI1	Stationary Phase Induced	""	447
S000000953	YER151C	UBP3	UBiquitin-specific Protease	BLM3	2739
S000000954	YER152C	""	""	2-aminoadipate transaminase	1332
S000000955	YER153C	PET122	PETite colonies	""	765
S000000956	YER154W	OXA1	cytochrome OXidase Activity	PET1402	1209
S000000957	YER155C	BEM2	Bud EMergence	IPL2 TSL1 SUP9	6504
S000000958	YER156C	""	""	""	1017
S000000959	YER157W	COG3	Conserved Oligomeric Golgi complex	SEC34 GRD20	2406
S000000960	YER158C	""	""	""	1722
S000000961	YER159C	BUR6	Bypass UAS Requirement	NCB1	429
S000000963	YER161C	SPT2	SuPpressor of Ty's	SIN1 EXA1	1002
S000000964	YER162C	RAD4	RADiation sensitive	""	2265
S000000965	YER163C	GCG1	Gamma-glutamyl Cyclotransferase acting on Glutathione	""	699
S000000966	YER164W	CHD1	Chromatin organization modifier, Helicase, and DNA-binding domains	""	4407
S000000967	YER165W	PAB1	Poly(A) Binding protein	""	1734
S000000968	YER166W	DNF1	Drs2 Neo1 Family	aminophospholipid-translocating P4-type ATPase DNF1	4716
S000000969	YER167W	BCK2	Bypass of C Kinase	CTR7	2556
S000000970	YER168C	CCA1	tRNA CCA-pyrophosphorylase	TNT1	1641
S000000971	YER169W	RPH1	Regulator of PHR1	KDM4	2391
S000000972	YER170W	ADK2	ADenylate Kinase	adenylate kinase ADK2 AKY3 PAK3	678
S000000973	YER171W	RAD3	RADiation sensitive	REM1	2337
S000000974	YER172C	BRR2	Bad Response to Refrigeration	RSS1 PRP44 SLT22 SNU246	6492
S000000975	YER173W	RAD24	RADiation sensitive	RS1	1980
S000000976	YER174C	GRX4	GlutaRedoXin	""	735
S000000977	YER175C	TMT1	Trans-aconitate MethylTransferase	TAM1	900
S000000978	YER176W	ECM32	ExtraCellular Mutant	HEL1 MTT1	3366
S000000979	YER177W	BMH1	Brain Modulosignalin Homologue	APR6	804
S000000980	YER178W	PDA1	Pyruvate Dehydrogenase Alpha	pyruvate dehydrogenase (acetyl-transferring) subunit E1 alpha	1263
S000000981	YER179W	DMC1	Disrupted Meiotic cDNA	ISC2	1097
S000000982	YER180C	ISC10	message Induced in Sporogenesis in S. Cervisiae	""	804
S000000983	YER181C	""	""	""	324
S000000984	YER182W	FMP10	Found in Mitochondrial Proteome	""	735
S000000985	YER183C	FAU1	Folinic Acid Utilization	5-formyltetrahydrofolate cyclo-ligase	636
S000000986	YER184C	""	""	""	2385
S000000987	YER185W	PUG1	Protoporphyrin Uptake Gene	""	912
S000000988	YER186C	""	""	""	921
S000000989	YER187W	""	""	""	426
S000000990	YER188W	""	""	""	720
S000000991	YER189W	""	""	""	369
S000000992	YER190W	YRF1-2	""	Y' element ATP-dependent helicase protein 1 copy 2 YRF1	5046
S000000993	YHL001W	RPL14B	Ribosomal Protein of the Large subunit	L14B L14e ribosomal 60S subunit protein L14B	815
S000000994	YHL002W	HSE1	Has Symptoms of class E mutants; resembles Hbp, Stam and East	""	1359
S000000995	YHL003C	LAG1	Longevity Assurance Gene	sphingosine N-acyltransferase LAG1	1236
S000000996	YHL004W	MRP4	Mitochondrial Ribosomal Protein	mitochondrial 37S ribosomal protein MRP4	1185
S000000997	YHL005C	""	""	""	393
S000000998	YHL006C	SHU1	Suppressor of HU sensitivity	""	453
S000000999	YHL007C	STE20	STErile	""	2820
S000001000	YHL008C	""	""	""	1884
S000001001	YHL009C	YAP3	Yeast AP-1	""	993
S000001002	YHL010C	ETP1	Ethanol Tolerance Protein	BRP2	1758
S000001003	YHL011C	PRS3	PhosphoRibosylpyrophosphate Synthetase	ribose phosphate diphosphokinase subunit PRS3	963
S000001004	YHL012W	""	""	UTP--glucose-1-phosphate uridylyltransferase	1482
S000001005	YHL013C	OTU2	member of the Ovarian TUmor family	""	924
S000001006	YHL014C	YLF2	""	YLF1	1218
S000001007	YHL015W	RPS20	Ribosomal Protein of the Small subunit	ribosomal 40S subunit protein S20 S10 URP2	366
S000001008	YHL016C	DUR3	Degradation of URea	""	2208
S000001009	YHL017W	""	""	""	1599
S000001010	YHL018W	""	""	4a-hydroxytetrahydrobiopterin dehydratase	363
S000001011	YHL019C	APM2	clathrin Adaptor Protein complex Medium chain	""	1818
S000001012	YHL020C	OPI1	OverProducer of Inositol	""	1215
S000001013	YHL021C	AIM17	Altered Inheritance rate of Mitochondria	FMP12	1398
S000001014	YHL022C	SPO11	SPOrulation	""	1197
S000001015	YHL023C	NPR3	Nitrogen Permease Regulator	RMD11	3441
S000001016	YHL024W	RIM4	Regulator of IME2	""	2142
S000001017	YHL025W	SNF6	Sucrose NonFermenting	""	999
S000001018	YHL026C	""	""	""	948
S000001019	YHL027W	RIM101	Regulator of IME2	RIM1	1878
S000001020	YHL028W	WSC4	cell Wall integrity and Stress response Component	YHC8 YFW1	1818
S000001021	YHL029C	OCA5	Oxidant-induced Cell-cycle Arrest	""	2040
S000001022	YHL030W	ECM29	ExtraCellular Mutant	""	5607
S000001023	YHL031C	GOS1	GOlgi Snare	""	672
S000001024	YHL032C	GUT1	Glycerol UTilization	glycerol kinase	2130
S000001025	YHL033C	RPL8A	Ribosomal Protein of the Large subunit	YL5 MAK7 ribosomal 60S subunit protein L8A rp6 L8A L8e L4A	771
S000001026	YHL034C	SBP1	""	SSBR1 SSB1	885
S000001027	YHL035C	VMR1	Vacuolar Multidrug Resistance	putative ATP-binding cassette multidrug transporter VMR1	4779
S000001028	YHL036W	MUP3	Methionine UPtake	""	1641
S000001029	YHL037C	""	""	""	402
S000001030	YHL038C	CBP2	Cytochrome B mRNA Processing	""	1893
S000001031	YHL039W	EFM1	Elongation Factor Methyltransferase	""	1758
S000001032	YHL040C	ARN1	AFT1 ReguloN	""	1884
S000001033	YHL041W	""	""	""	450
S000001034	YHL042W	""	""	""	453
S000001035	YHL043W	ECM34	ExtraCellular Mutant	""	513
S000001036	YHL044W	""	""	""	708
S000001037	YHL045W	""	""	""	348
S000001038	YHL046C	PAU13	seriPAUperin	""	363
S000001039	YHL047C	ARN2	AFT1 ReguloN	TAF1	1863
S000001040	YHL048W	COS8	COnserved Sequence	""	1146
S000001041	YHL049C	""	""	""	816
S000001042	YHL050C	""	""	""	2867
S000001043	YHR001W	OSH7	OxySterol binding protein Homolog	""	1314
S000001044	YHR002W	LEU5	LEUcine biosynthesis	""	1074
S000001045	YHR003C	TCD1	tRNA ThreonylCarbamoyladenosine Dehydratase	""	1290
S000001046	YHR004C	NEM1	Nuclear Envelope Morphology	""	1341
S000001047	YHR005C	GPA1	G Protein Alpha subunit	CDC70 SCG1 DAC1	1419
S000001048	YHR006W	STP2	protein with similarity to Stp1p	""	1626
S000001049	YHR007C	ERG11	ERGosterol biosynthesis	sterol 14-demethylase CYP51	1593
S000001050	YHR008C	SOD2	SuperOxide Dismutase	superoxide dismutase SOD2	702
S000001051	YHR009C	TDA3	Topoisomerase I Damage Affected	BTN3	1572
S000001052	YHR010W	RPL27A	Ribosomal Protein of the Large subunit	L27e L27A ribosomal 60S subunit protein L27A RPL27	972
S000001053	YHR011W	DIA4	Digs Into Agar	putative serine--tRNA ligase DIA4	1341
S000001054	YHR012W	VPS29	Vacuolar Protein Sorting	VPT6 PEP11	968
S000001055	YHR013C	ARD1	ARrest Defective	NAA10	717
S000001056	YHR014W	SPO13	SPOrulation	""	876
S000001057	YHR015W	MIP6	Mex67-Interacting Protein	""	1980
S000001058	YHR016C	YSC84	""	LSB4	1575
S000001059	YHR017W	YSC83	""	""	1158
S000001060	YHR018C	ARG4	ARGinine requiring	argininosuccinate lyase ARG4	1392
S000001061	YHR019C	DED81	Defines Essential Domain	asparaginyl-tRNA synthetase asparagine--tRNA ligase DED81	1665
S000001062	YHR020W	""	""	proline--tRNA ligase	2067
S000001063	YHR021C	RPS27B	Ribosomal Protein of the Small subunit	YS20 S27e S27B ribosomal 40S subunit protein S27B rp61	799
S000001064	YHR022C	""	""	""	771
S000001065	YHR023W	MYO1	MYOsin	myosin 1	5787
S000001066	YHR024C	MAS2	Mitochondrial ASsembly	MIF2 mitochondrial processing protease alpha subunit	1449
S000001067	YHR025W	THR1	THReonine requiring	homoserine kinase	1074
S000001068	YHR026W	VMA16	Vacuolar Membrane Atpase	PPA1	642
S000001069	YHR027C	RPN1	Regulatory Particle Non-ATPase	HRD2 NAS1 proteasome regulatory particle base subunit RPN1	2982
S000001070	YHR028C	DAP2	Dipeptidyl AminoPeptidase	DPP2	2457
S000001071	YHR029C	YHI9	""	""	885
S000001072	YHR030C	SLT2	Suppressor of the LyTic phenotype	LYT2 MPK1 BYC2 SLK2	1455
S000001073	YHR031C	RRM3	rDNA Recombination Mutation	RTT104	2172
S000001074	YHR032W	ERC1	Ethionine Resistance Conferring	""	1746
S000001075	YHR033W	""	""	putative glutamate 5-kinase	1272
S000001076	YHR034C	PIH1	Protein Interacting with Hsp90	NOP17	1035
S000001077	YHR035W	""	""	""	1893
S000001078	YHR036W	BRL1	BRr6 Like protein	""	1416
S000001079	YHR037W	PUT2	Proline UTilization	1-pyrroline-5-carboxylate dehydrogenase	1728
S000001080	YHR038W	RRF1	Ribosome Recycling Factor	KIM4 FIL1	693
S000001081	YHR039C	MSC7	Meiotic Sister-Chromatid recombination	""	1935
S000001082	YHR040W	BCD1	Box C/D snoRNA 	""	1101
S000001083	YHR041C	SRB2	Suppressor of RNA polymerase B	MED20 HRS2	734
S000001084	YHR042W	NCP1	""	CPR1	2076
S000001085	YHR043C	DOG2	DeOxyGlucose	2-deoxyglucose-6-phosphate phosphatase	741
S000001086	YHR044C	DOG1	DeOxyGlucose	2-deoxyglucose-6-phosphate phosphatase	741
S000001087	YHR045W	""	""	""	1683
S000001088	YHR046C	INM1	INositol Monophosphatase	inositol monophosphate 1-phosphatase INM1	888
S000001089	YHR047C	AAP1	Arginine/alanine AminoPeptidase	AAP1'	2571
S000001090	YHR048W	YHK8	""	""	1545
S000001091	YHR049W	FSH1	Family of Serine Hydrolases	""	732
S000001092	YHR050W	SMF2	Suppressor of Mitochondria import Function	divalent metal ion transporter SMF2	1650
S000001093	YHR051W	COX6	Cytochrome c OXidase	cytochrome c oxidase subunit VI	447
S000001094	YHR052W	CIC1	Core Interacting Component	NSA3	1131
S000001095	YHR053C	CUP1-1	""	CUP1	186
S000001096	YHR054C	""	""	""	1065
S000001097	YHR055C	CUP1-2	""	CUP1	186
S000001098	YHR056C	RSC30	Remodel the Structure of Chromatin	""	2652
S000001099	YHR057C	CPR2	Cyclosporin-sensitive Proline Rotamase	peptidylprolyl isomerase CPR2 CYP2	618
S000001100	YHR058C	MED6	MEDiator complex	""	888
S000001101	YHR059W	FYV4	Function required for Yeast Viability	""	393
S000001102	YHR060W	VMA22	""	CEV1 VPH6	546
S000001103	YHR061C	GIC1	GTPase Interactive Component	""	945
S000001104	YHR062C	RPP1	Ribonuclease P Protein	""	882
S000001105	YHR063C	PAN5	PANtothenate biosynthesis	2-dehydropantoate 2-reductase PAN5	1140
S000001106	YHR064C	SSZ1	""	PDR13	1617
S000001107	YHR065C	RRP3	Ribosomal RNA Processing	RNA-dependent ATPase RRP3	1506
S000001108	YHR066W	SSF1	Suppressor of ste4 (Four)	""	1362
S000001109	YHR067W	HTD2	Hydroxyacyl-Thioester Dehydratase	hydroxyacyl-thioester dehydratase HTD2 RMD12	843
S000001110	YHR068W	DYS1	DeoxyhYpusine Synthase	""	1164
S000001111	YHR069C	RRP4	Ribosomal RNA Processing	""	1080
S000001112	YHR070W	TRM5	Transfer RNA Methyltransferase	""	1500
S000001113	YHR071W	PCL5	Pho85 CycLin	""	690
S000001114	YHR072W	ERG7	ERGosterol biosynthesis	lanosterol synthase ERG7	2196
S000001115	YHR073W	OSH3	OxySterol binding protein Homolog	""	2991
S000001116	YHR074W	QNS1	glutamine (Q) dependent Nad+ Synthetase	glutamine-dependent NAD(+) synthetase	2145
S000001117	YHR075C	PPE1	Phosphoprotein Phosphatase methylEsterase	MRPS2 carboxylesterase-mitochondrial 37S ribosomal protein YmS2 YmS2	1203
S000001118	YHR076W	PTC7	Phosphatase type Two C	""	1125
S000001119	YHR077C	NMD2	Nonsense-mediated MRNA Decay	IFS1 SUA1 SUP111 UPF2	3383
S000001120	YHR078W	""	""	""	1659
S000001121	YHR079C	IRE1	Inositol REquiring	ERN1	3348
S000001122	YHR080C	""	""	""	4038
S000001123	YHR081W	LRP1	Like RrP6	RRP47 YC1D	555
S000001124	YHR082C	KSP1	""	""	3090
S000001125	YHR083W	SAM35	Sorting and Assembly Machinery	TOB38 FMP20 TOM38	990
S000001126	YHR084W	STE12	STErile	""	2067
S000001127	YHR085W	IPI1	Involved in Processing ITS2	""	1005
S000001128	YHR086W	NAM8	Nuclear Accommodation of Mitochondria	MUD15 MRE2	1572
S000001129	YHR087W	RTC3	Restriction of Telomere Capping	HGI1	336
S000001130	YHR088W	RPF1	""	""	888
S000001131	YHR089C	GAR1	""	""	618
S000001132	YHR090C	YNG2	Yeast homolog of mammalian Ing1	EAF4 NBN1	849
S000001133	YHR091C	MSR1	Mitochondrial tRNA Synthetase aRginine	mitochondrial arginyl-tRNA synthetase arginine--tRNA ligase MSR1	1932
S000001134	YHR092C	HXT4	HeXose Transporter	LGT1 RAG1	1731
S000001135	YHR093W	AHT1	""	""	549
S000001136	YHR094C	HXT1	HeXose Transporter	HOR4	1713
S000001137	YHR095W	""	""	""	495
S000001138	YHR096C	HXT5	HeXose Transporter	""	1779
S000001139	YHR097C	""	""	""	1225
S000001140	YHR098C	SFB3	Sed Five Binding	LST1	2790
S000001141	YHR099W	TRA1	similar to human TRRAP	""	11235
S000001142	YHR100C	GEP4	GEnetic interactors of Prohibitins	""	558
S000001143	YHR101C	BIG1	Bad In Glucose	""	1095
S000001144	YHR102W	KIC1	Kinase that Interacts with Cdc31p	NRK1	3243
S000001145	YHR103W	SBE22	similar to SBE2	""	2559
S000001146	YHR104W	GRE3	Genes de Respuesta a Estres (stress responsive genes)	trifunctional aldehyde reductase/xylose reductase/glucose 1-dehydrogenase (NADP(+))	984
S000001147	YHR105W	YPT35	""	""	645
S000001148	YHR106W	TRR2	ThioRedoxin Reductase	thioredoxin-disulfide reductase TRR2	1029
S000001149	YHR107C	CDC12	Cell Division Cycle	CLA10 septin CDC12 PSL7	1224
S000001150	YHR108W	GGA2	Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein	""	1758
S000001151	YHR109W	CTM1	CyTochrome c Methyltransferase	""	1758
S000001152	YHR110W	ERP5	Emp24p/Erv25p Related Protein	""	639
S000001153	YHR111W	UBA4	UBiquitin-like protein Activating	YHR1	1323
S000001154	YHR112C	""	""	putative cystathionine beta-lyase	1137
S000001155	YHR113W	APE4	""	""	1473
S000001156	YHR114W	BZZ1	""	LSB7	1902
S000001157	YHR115C	DMA1	Defective in Mitotic Arrest	CHF1 ubiquitin-conjugating protein DMA1	1251
S000001158	YHR116W	COX23	Cytochrome OXidase	""	456
S000001159	YHR117W	TOM71	Translocase of the Outer Mitochondrial membrane	TOM72	1920
S000001160	YHR118C	ORC6	Origin Recognition Complex	origin recognition complex subunit 6	1308
S000001161	YHR119W	SET1	SET domain-containing	YTX1 KMT2	3243
S000001162	YHR120W	MSH1	MutS Homolog	mismatch repair ATPase MSH1	2880
S000001163	YHR121W	LSM12	Like SM	""	564
S000001164	YHR122W	CIA2	Cytosolic Iron-sulfur protein Assembly	""	696
S000001165	YHR123W	EPT1	""	bifunctional diacylglycerol cholinephosphotransferase/ethanolaminephosphotransferase	1267
S000001166	YHR124W	NDT80	Non-DiTyrosine	""	1884
S000001167	YHR125W	""	""	""	306
S000001168	YHR126C	ANS1	""	""	480
S000001169	YHR127W	""	""	HSN1	732
S000001170	YHR128W	FUR1	5-FluoroURidine resistant	uracil phosphoribosyltransferase	651
S000001171	YHR129C	ARP1	Actin-Related Protein	actin-related protein 1 ACT5	1155
S000001172	YHR130C	""	""	""	336
S000001173	YHR131C	""	""	""	2553
S000001174	YHR132C	ECM14	ExtraCellular Mutant	""	1293
S000001175	YHR133C	NSG1	""	""	876
S000001176	YHR134W	WSS1	Weak Suppressor of Smt3	""	810
S000001177	YHR135C	YCK1	Yeast Casein Kinase I homologue	CKI2	1617
S000001178	YHR136C	SPL2	Suppressor of PLc1 deletion	""	447
S000001179	YHR137W	ARO9	AROmatic amino acid requiring	aromatic-amino-acid:2-oxoglutarate transaminase	1542
S000001180	YHR138C	""	""	""	345
S000001181	YHR139C	SPS100	SPorulation Specific	""	981
S000001182	YHR140W	""	""	""	720
S000001183	YHR141C	RPL42B	Ribosomal Protein of the Large subunit	L44e YL27 YP44 ribosomal 60S subunit protein L42B L42B MAK18 L41B	762
S000001184	YHR142W	CHS7	CHitin Synthase-related	""	951
S000001185	YHR143W-A	RPC10	RNA Polymerase C	RPB12 ABC10-alpha	213
S000001186	YHR143W	DSE2	Daughter Specific Expression	""	978
S000001187	YHR144C	DCD1	dCMP Deaminase	""	939
S000001188	YHR145C	""	""	""	357
S000001189	YHR146W	CRP1	Cruciform DNA-Recognizing Protein	""	1398
S000001190	YHR147C	MRPL6	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein YmL16 YmL16	645
S000001191	YHR148W	IMP3	Interacting with Mpp10p	""	552
S000001192	YHR149C	SKG6	Suppressor of lethality of Kex2 Gas1 double null mutant	""	2205
S000001193	YHR150W	PEX28	PEroXisome related	""	1740
S000001194	YHR151C	MTC6	Maintenance of Telomere Capping	""	1581
S000001195	YHR152W	SPO12	SPOrulation	""	522
S000001196	YHR153C	SPO16	SPOrulation	""	597
S000001197	YHR154W	RTT107	Regulator of Ty1 Transposition	ESC4	3213
S000001198	YHR155W	YSP1	Yeast Suicide Protein	""	3687
S000001199	YHR156C	LIN1	LINk	SNU40	1023
S000001200	YHR157W	REC104	RECombination	""	549
S000001201	YHR158C	KEL1	KELch repeat	""	3495
S000001202	YHR159W	TDA11	Topoisomerase I Damage Affected	""	1515
S000001203	YHR160C	PEX18	PEroXin	""	852
S000001204	YHR161C	YAP1801	Yeast Assembly Polypeptide	""	1914
S000001205	YHR162W	MPC2	Mitochondrial Pyruvate Carrier	""	390
S000001206	YHR163W	SOL3	Suppressor Of Los1-1	6-phosphogluconolactonase SOL3	750
S000001207	YHR164C	DNA2	DNA synthesis defective	WEB2	4569
S000001208	YHR165C	PRP8	Pre-mRNA Processing	DBF3 DNA39 RNA8 SLT21 USA2	7242
S000001209	YHR166C	CDC23	Cell Division Cycle	anaphase promoting complex subunit CDC23	1881
S000001210	YHR167W	THP2	THO2 - HPR1 Phenotype	""	786
S000001211	YHR168W	MTG2	MiTochondrial Gtpase 2	""	1557
S000001212	YHR169W	DBP8	Dead Box Protein	ATP-dependent RNA helicase DBP8	1296
S000001213	YHR170W	NMD3	Nonsense-Mediated mRNA Decay	SRC5	1557
S000001214	YHR171W	ATG7	AuTophaGy related	CVT2 APG11 APG7	1893
S000001215	YHR172W	SPC97	Spindle Pole Component	""	2472
S000001216	YHR173C	""	""	""	339
S000001217	YHR174W	ENO2	ENO2	phosphopyruvate hydratase ENO2 enolase	1314
S000001218	YHR175W	CTR2	Copper TRansport	""	570
S000001219	YHR176W	FMO1	""	""	1299
S000001220	YHR177W	""	""	GON3	1362
S000001221	YHR178W	STB5	Sin Three Binding protein	""	2232
S000001222	YHR179W	OYE2	Old Yellow Enzyme	Old Yellow Enzyme	1203
S000001223	YHR180W	""	""	""	492
S000001224	YHR181W	SVP26	Sed5 Vesicle Protein	ERV26	687
S000001225	YHR182W	""	""	""	2358
S000001226	YHR183W	GND1	""	phosphogluconate dehydrogenase (decarboxylating) GND1	1470
S000001227	YHR184W	SSP1	""	SPO3	1716
S000001228	YHR185C	PFS1	Prospore Formation at Spindles	ADY1	714
S000001229	YHR186C	KOG1	Kontroller Of Growth	LAS24	4674
S000001230	YHR187W	IKI1	Insensitive to KIller toxin	Elongator subunit IKI1 ELP5 TOT5 HAP2	930
S000001231	YHR188C	GPI16	GlycosylPhosphatidylInositol anchor biosynthesis	""	1833
S000001232	YHR189W	PTH1	Peptidyl-Trna Hydrolase	PTH	573
S000001233	YHR190W	ERG9	ERGosterol biosynthesis	bifunctional farnesyl-diphosphate farnesyltransferase/squalene synthase	1335
S000001234	YHR191C	CTF8	Chromosome Transmission Fidelity	""	402
S000001235	YHR192W	LNP1	LuNaPark family member	""	837
S000001236	YHR193C	EGD2	Enhancer of Gal4 DNA binding	""	525
S000001237	YHR194W	MDM31	Mitochondrial Distribution and Morphology	""	1740
S000001238	YHR195W	NVJ1	Nucleus-Vacuole Junction	VAB36	966
S000001239	YHR196W	UTP9	U Three Protein	""	1728
S000001240	YHR197W	RIX1	RIbosome eXport	IPI2	2292
